account_id,customer_id,account_type,account_status,account_balance,open_date,branch_id
ACC0000001,CUST004421,Line of Credit,Active,5082.0,2020-01-08,BR0008
ACC0000002,CUST001085,Line of Credit,Active,4981.65,2025-04-29,BR0096
ACC0000003,CUST000499,Savings,Active,10128.28,2025-03-04,BR0099
ACC0000004,CUST000380,Line of Credit,Active,2700.38,2018-11-27,BR0086
ACC0000005,CUST001396,Line of Credit,Active,4095.98,2021-12-26,BR0021
ACC0000006,CUST002620,Line of Credit,Active,6105.41,2026-01-14,BR0092
ACC0000007,CUST002394,Chequing,Active,15552.17,2019-11-22,BR0026
ACC0000008,CUST002036,Savings,Active,10132.15,2024-06-10,BR0050
ACC0000009,CUST000275,Line of Credit,Active,6984.34,2026-04-13,BR0066
ACC0000010,CUST001447,Line of Credit,Active,4788.05,2024-05-15,BR0099
ACC0000011,CUST001655,Line of Credit,Active,18962.15,2021-11-19,BR0099
ACC0000012,CUST002704,Savings,Active,6433.04,2023-01-27,BR0087
ACC0000013,CUST004346,Savings,Active,4093.37,2025-09-24,BR0017
ACC0000014,CUST003111,Chequing,Active,20953.24,2022-02-20,BR0097
ACC0000015,CUST004967,Savings,Active,2790.13,2026-04-06,BR0002
ACC0000016,CUST002071,Line of Credit,Active,13429.01,2025-05-15,BR0053
ACC0000017,CUST004571,Savings,Active,6726.08,2018-07-18,BR0040
ACC0000018,CUST000513,Savings,Active,10118.41,2019-02-03,BR0015
ACC0000019,CUST000675,Savings,Dormant,9115.26,2018-12-22,BR0026
ACC0000020,CUST001651,Chequing,Active,10036.33,2023-08-24,BR0096
ACC0000021,CUST001855,Chequing,Active,21997.41,2018-06-02,BR0085
ACC0000022,CUST004152,Savings,Active,20157.71,2023-09-09,BR0080
ACC0000023,CUST003956,Savings,Active,4237.78,2025-10-28,BR0039
ACC0000024,CUST001531,Savings,Active,8918.85,2019-01-24,BR0016
ACC0000025,CUST004655,Line of Credit,Active,1869.69,2019-11-06,BR0007
ACC0000026,CUST001949,Chequing,Active,10650.8,2019-08-04,BR0047
ACC0000027,CUST003450,Line of Credit,Active,12065.02,2022-04-06,BR0077
ACC0000028,CUST004042,Savings,Active,1277.65,2025-02-15,BR0040
ACC0000029,CUST002652,Chequing,Active,6577.11,2023-12-13,BR0051
ACC0000030,CUST002983,Chequing,Active,10107.97,2020-08-23,BR0045
