card_id,customer_id,account_id,card_type,card_status,credit_limit,issue_date
CARD0000001,CUST004139,ACC0002216,Visa Infinite,Active,1000.0,2022-09-28
CARD0000002,CUST003314,ACC0002583,Visa Classic,Active,10000.0,2022-01-24
CARD0000003,CUST000832,ACC0001663,Visa Infinite,Active,1000.0,2022-04-24
CARD0000004,CUST003695,ACC0003028,Visa Classic,Active,15000.0,2024-02-22
CARD0000005,CUST001812,ACC0004344,Travel Rewards,Active,10000.0,2025-01-08
CARD0000006,CUST002650,ACC0002681,Visa Classic,Active,2500.0,2023-07-04
CARD0000007,CUST002278,ACC0001766,Cash Back,Active,5000.0,2023-06-18
CARD0000008,CUST001410,ACC0001124,Cash Back,Active,1000.0,2024-01-16
CARD0000009,CUST004985,ACC0004055,Visa Classic,Active,2500.0,2024-06-03
CARD0000010,CUST004634,ACC0003762,Visa Infinite,Active,2500.0,2022-08-03
CARD0000011,CUST004651,ACC0001536,Visa Infinite,Blocked,20000.0,2025-05-25
CARD0000012,CUST001523,ACC0002945,Visa Infinite,Closed,1000.0,2024-07-23
CARD0000013,CUST004884,ACC0002988,Visa Classic,Active,20000.0,2021-09-01
CARD0000014,CUST003425,ACC0004292,Visa Infinite,Blocked,1000.0,2021-12-31
CARD0000015,CUST004974,ACC0004343,Visa Classic,Closed,5000.0,2024-08-28
CARD0000016,CUST003408,ACC0004425,Visa Infinite,Active,10000.0,2024-06-02
CARD0000017,CUST002024,ACC0007942,Visa Infinite,Blocked,1000.0,2024-11-18
CARD0000018,CUST001989,ACC0004998,Cash Back,Active,5000.0,2021-11-20
CARD0000019,CUST001353,ACC0002749,Visa Classic,Active,15000.0,2021-08-10
CARD0000020,CUST001514,ACC0002303,Cash Back,Active,20000.0,2023-12-20
CARD0000021,CUST004692,ACC0003933,Travel Rewards,Active,1000.0,2022-08-25
CARD0000022,CUST002376,ACC0005957,Visa Infinite,Active,10000.0,2021-07-27
CARD0000023,CUST000375,ACC0006132,Travel Rewards,Active,1000.0,2023-08-11
CARD0000024,CUST003695,ACC0007597,Visa Classic,Active,2500.0,2023-05-18
CARD0000025,CUST002005,ACC0000795,Cash Back,Active,1000.0,2024-06-03
CARD0000026,CUST001299,ACC0003164,Travel Rewards,Active,5000.0,2022-03-23
CARD0000027,CUST000936,ACC0007941,Cash Back,Active,1000.0,2025-08-08
CARD0000028,CUST003235,ACC0003182,Visa Classic,Active,1000.0,2022-12-25
CARD0000029,CUST003339,ACC0000764,Visa Classic,Active,10000.0,2025-01-13
CARD0000030,CUST004288,ACC0003079,Travel Rewards,Active,15000.0,2023-05-12
CARD0000031,CUST003728,ACC0000812,Cash Back,Active,2500.0,2022-09-13
CARD0000032,CUST002071,ACC0007260,Travel Rewards,Active,2500.0,2021-12-18
CARD0000033,CUST001715,ACC0006932,Travel Rewards,Active,15000.0,2023-04-24
CARD0000034,CUST002852,ACC0001619,Visa Classic,Active,5000.0,2022-04-14
CARD0000035,CUST003918,ACC0006827,Visa Infinite,Active,20000.0,2022-02-07
CARD0000036,CUST003244,ACC0001043,Visa Classic,Active,2500.0,2025-02-18
CARD0000037,CUST001943,ACC0005319,Visa Infinite,Active,2500.0,2022-08-25
CARD0000038,CUST000642,ACC0004795,Visa Classic,Active,15000.0,2025-04-23
CARD0000039,CUST004030,ACC0000488,Cash Back,Active,15000.0,2022-01-26
CARD0000040,CUST004049,ACC0001018,Travel Rewards,Active,2500.0,2024-06-02
CARD0000041,CUST003304,ACC0002816,Cash Back,Active,7500.0,2022-08-04
CARD0000042,CUST004284,ACC0002717,Visa Infinite,Active,10000.0,2022-03-25
CARD0000043,CUST001928,ACC0005364,Cash Back,Active,10000.0,2021-10-07
CARD0000044,CUST002539,ACC0002930,Travel Rewards,Closed,1000.0,2021-11-09
CARD0000045,CUST004985,ACC0003363,Visa Infinite,Active,20000.0,2025-08-26
CARD0000046,CUST004569,ACC0005166,Visa Infinite,Active,15000.0,2024-05-24
CARD0000047,CUST000011,ACC0001076,Travel Rewards,Active,5000.0,2024-04-28
CARD0000048,CUST000401,ACC0006399,Visa Infinite,Active,5000.0,2023-02-26
CARD0000049,CUST003072,ACC0004982,Travel Rewards,Active,2500.0,2023-04-11
CARD0000050,CUST003425,ACC0006229,Cash Back,Active,1000.0,2023-04-15
CARD0000051,CUST001851,ACC0002922,Travel Rewards,Active,20000.0,2024-02-24
CARD0000052,CUST002760,ACC0004020,Travel Rewards,Active,10000.0,2022-03-29
CARD0000053,CUST002716,ACC0004332,Cash Back,Active,20000.0,2025-03-28
CARD0000054,CUST003064,ACC0007000,Visa Infinite,Active,10000.0,2025-04-24
CARD0000055,CUST000930,ACC0001323,Visa Classic,Active,10000.0,2026-04-15
CARD0000056,CUST003086,ACC0007732,Visa Infinite,Active,1000.0,2023-10-27
CARD0000057,CUST000862,ACC0002253,Cash Back,Active,20000.0,2025-04-12
CARD0000058,CUST003470,ACC0006655,Visa Infinite,Active,1000.0,2026-04-19
CARD0000059,CUST003486,ACC0007245,Cash Back,Active,5000.0,2025-12-01
CARD0000060,CUST000841,ACC0000867,Cash Back,Active,5000.0,2025-06-17
CARD0000061,CUST000591,ACC0005592,Visa Infinite,Active,10000.0,2025-12-16
CARD0000062,CUST002056,ACC0002466,Visa Classic,Active,1000.0,2025-07-20
CARD0000063,CUST003962,ACC0000466,Visa Infinite,Active,20000.0,2023-03-06
CARD0000064,CUST004754,ACC0002883,Visa Classic,Active,10000.0,2025-03-27
CARD0000065,CUST004585,ACC0004962,Cash Back,Active,2500.0,2024-02-04
CARD0000066,CUST001616,ACC0007043,Cash Back,Active,5000.0,2022-08-22
CARD0000067,CUST003917,ACC0006241,Travel Rewards,Active,2500.0,2022-07-25
CARD0000068,CUST003922,ACC0005448,Visa Infinite,Active,20000.0,2023-05-17
CARD0000069,CUST002020,ACC0001503,Visa Classic,Active,1000.0,2021-09-15
CARD0000070,CUST002974,ACC0003916,Visa Infinite,Active,5000.0,2021-08-12
CARD0000071,CUST002112,ACC0003263,Travel Rewards,Active,2500.0,2024-02-03
CARD0000072,CUST001963,ACC0000264,Visa Classic,Active,2500.0,2024-12-03
CARD0000073,CUST001627,ACC0003807,Travel Rewards,Active,15000.0,2024-09-14
CARD0000074,CUST003959,ACC0004085,Travel Rewards,Closed,20000.0,2022-04-28
CARD0000075,CUST003353,ACC0007840,Cash Back,Active,5000.0,2023-02-12
CARD0000076,CUST004677,ACC0001812,Visa Infinite,Active,10000.0,2023-12-10
CARD0000077,CUST002843,ACC0001145,Visa Classic,Active,5000.0,2023-02-18
CARD0000078,CUST000328,ACC0005828,Visa Infinite,Active,5000.0,2022-06-05
CARD0000079,CUST003117,ACC0002150,Travel Rewards,Active,2500.0,2022-10-08
CARD0000080,CUST000603,ACC0003930,Visa Infinite,Active,15000.0,2022-11-26
CARD0000081,CUST001648,ACC0006320,Visa Infinite,Blocked,1000.0,2021-09-09
CARD0000082,CUST001913,ACC0003291,Cash Back,Active,15000.0,2022-06-27
CARD0000083,CUST001605,ACC0000683,Visa Infinite,Active,1000.0,2023-01-23
CARD0000084,CUST002899,ACC0002841,Visa Infinite,Active,20000.0,2025-12-31
CARD0000085,CUST004500,ACC0001003,Cash Back,Active,20000.0,2024-11-20
CARD0000086,CUST003482,ACC0006756,Visa Classic,Active,5000.0,2025-01-13
CARD0000087,CUST004593,ACC0005130,Visa Infinite,Active,7500.0,2022-03-04
CARD0000088,CUST000722,ACC0004291,Travel Rewards,Active,20000.0,2025-05-31
